condition,screen,item,repeat,pred_x,pred_y,hit,dist,iou,in_tokens,out_tokens,latency_ms,error
orig,customer-c01,c01-name-value,1,543,146,1,2.2,0.788,1434,39,1745,
orig,customer-c01,c01-name-value,2,540,149,1,2.2,0.836,1434,24,1186,
orig,customer-c01,c01-name-value,3,540,147,1,1.0,0.901,1434,24,2248,
orig,customer-c01,c01-phone-label,1,318,179,1,6.0,0.728,1433,24,1203,
orig,customer-c01,c01-phone-label,2,319,178,1,5.1,0.828,1433,38,1809,
orig,customer-c01,c01-phone-label,3,318,179,1,6.0,0.886,1433,24,1796,
orig,customer-c01,c01-phone-value,1,539,180,1,2.2,0.732,1432,37,2652,
orig,customer-c01,c01-phone-value,2,539,180,1,2.2,0.732,1432,37,686,
orig,customer-c01,c01-phone-value,3,539,180,1,2.2,0.732,1432,37,707,
orig,customer-c01,c01-email-value,1,539,211,1,2.0,0.823,1432,24,1399,
orig,customer-c01,c01-email-value,2,539,212,1,2.2,0.790,1432,24,2711,
orig,customer-c01,c01-email-value,3,539,211,1,2.0,0.823,1432,24,712,
orig,customer-c01,c01-card-label,1,298,274,1,26.1,0.541,1434,39,586,
orig,customer-c01,c01-card-label,2,314,277,1,10.0,0.647,1434,24,639,
orig,customer-c01,c01-card-label,3,296,276,1,28.0,0.550,1434,24,3189,
orig,customer-c01,c01-card-value,1,539,277,1,2.2,0.760,1432,24,953,
orig,customer-c01,c01-card-value,2,539,277,1,2.2,0.760,1432,24,1140,
orig,customer-c01,c01-card-value,3,539,277,1,2.2,0.760,1432,24,1191,
orig,customer-c01,c01-points-value,1,540,310,1,2.2,0.865,1432,24,692,
orig,customer-c01,c01-points-value,2,539,309,1,2.2,0.897,1432,24,3051,
orig,customer-c01,c01-points-value,3,539,309,1,2.2,0.897,1432,24,1265,
orig,customer-c01,c01-nav-customers,1,105,116,1,0.7,0.946,1433,22,649,
orig,customer-c01,c01-nav-customers,2,104,116,1,0.7,0.941,1433,22,3236,
orig,customer-c01,c01-nav-customers,3,105,116,1,0.7,0.946,1433,22,665,
orig,customer-c03,c03-back,1,264,42,1,2.2,0.888,1433,22,1039,
orig,customer-c03,c03-back,2,263,42,1,3.2,0.871,1433,22,756,
orig,customer-c03,c03-back,3,264,41,1,2.0,0.911,1433,22,582,
orig,customer-c03,c03-name-value,1,540,148,1,1.4,0.914,1434,24,2674,
orig,customer-c03,c03-name-value,2,540,150,1,3.2,0.794,1434,24,1670,
orig,customer-c03,c03-name-value,3,540,148,1,1.4,0.862,1434,24,1136,
orig,customer-c03,c03-address-label,1,318,244,1,6.1,0.800,1433,24,1053,
orig,customer-c03,c03-address-label,2,318,244,1,6.1,0.800,1433,24,1037,
orig,customer-c03,c03-address-label,3,318,244,1,6.1,0.800,1433,24,991,
orig,customer-c03,c03-address-value,1,540,245,1,2.2,0.683,1431,24,1136,
orig,customer-c03,c03-address-value,2,540,244,1,1.4,0.763,1431,24,1500,
orig,customer-c03,c03-address-value,3,540,244,1,1.4,0.763,1431,24,2010,
orig,customer-c03,c03-card-value,1,540,276,1,1.0,0.709,1432,24,2533,
orig,customer-c03,c03-card-value,2,540,276,1,1.0,0.709,1432,24,991,
orig,customer-c03,c03-card-value,3,540,276,1,1.0,0.709,1432,24,644,
orig,customer-c03,c03-email-label,1,320,211,1,4.0,0.759,1433,38,1492,
orig,customer-c03,c03-email-label,2,320,211,1,4.0,0.759,1433,38,622,
orig,customer-c03,c03-email-label,3,318,210,1,6.1,0.712,1433,38,1491,
orig,customer-c03,c03-logout,1,104,1063,1,2.1,0.893,1433,37,2307,
orig,customer-c03,c03-logout,2,104,1063,1,2.1,0.893,1433,23,3703,
orig,customer-c03,c03-logout,3,105,1064,1,1.1,0.931,1433,37,1000,
orig,login,login-username,1,639,515,1,1.4,0.956,1428,24,662,
orig,login,login-username,2,639,514,1,2.2,0.900,1428,24,1318,
orig,login,login-username,3,639,514,1,2.2,0.900,1428,24,2224,
orig,login,login-password,1,639,587,1,1.0,0.954,1428,24,679,
orig,login,login-password,2,638,586,1,2.2,0.950,1428,33,929,
orig,login,login-password,3,639,587,1,1.0,0.954,1428,24,1490,
orig,login,login-submit,1,639,639,1,1.4,0.945,1432,37,1878,
orig,login,login-submit,2,639,639,1,1.4,0.945,1432,37,806,
orig,login,login-submit,3,639,639,1,1.4,0.945,1432,37,1764,
orig,login,login-title,1,617,416,1,23.0,0.703,1432,24,855,
orig,login,login-title,2,617,416,1,23.0,0.703,1432,24,1013,
orig,login,login-title,3,617,415,1,23.0,0.752,1432,24,572,
orig,login,login-hint,1,639,681,1,1.8,0.848,1435,40,753,
orig,login,login-hint,2,638,681,1,2.5,0.845,1435,40,2866,
orig,login,login-hint,3,638,681,1,2.5,0.845,1435,40,1114,
blur,products-admin,search-box,1,354,85,1,2.2,0.916,1431,22,1200,
blur,products-admin,search-box,2,355,85,1,1.4,0.921,1431,22,2546,
blur,products-admin,search-box,3,355,85,1,1.4,0.948,1431,22,2671,
blur,products-admin,category-dropdown,1,552,84,1,2.2,0.879,1431,22,676,
blur,products-admin,category-dropdown,2,552,85,1,1.4,0.912,1431,22,1379,
blur,products-admin,category-dropdown,3,552,85,1,1.4,0.912,1431,22,1995,
blur,products-admin,add-button,1,774,85,1,2.2,0.908,1432,35,718,
blur,products-admin,add-button,2,774,85,1,2.2,0.908,1432,22,2427,
blur,products-admin,add-button,3,774,85,1,2.2,0.908,1432,22,4078,
blur,products-admin,rating-filter-star4,1,682,84,1,3.6,0.563,1437,22,1374,
blur,products-admin,rating-filter-star4,2,682,85,1,3.2,0.624,1437,22,1875,
blur,products-admin,rating-filter-star4,3,681,84,1,4.5,0.512,1437,22,4787,
blur,products-admin,chart-snack-bar,1,446,205,1,2.2,0.870,1439,24,777,
blur,products-admin,chart-snack-bar,2,447,202,1,4.1,0.694,1439,44,650,
blur,products-admin,chart-snack-bar,3,447,205,1,1.4,0.880,1439,24,1204,
blur,products-admin,nav-products,1,100,73,1,4.5,0.864,1433,20,2862,
blur,products-admin,nav-products,2,99,72,1,5.7,0.873,1433,20,2277,
blur,products-admin,nav-products,3,100,73,1,4.5,0.864,1433,20,5854,
blur,products-admin,nav-customers,1,100,118,1,4.7,0.821,1433,35,897,
blur,products-admin,nav-customers,2,100,118,1,4.7,0.821,1433,35,1358,
blur,products-admin,nav-customers,3,100,118,1,4.7,0.821,1433,35,1322,
blur,products-admin,nav-settings,1,100,160,1,4.5,0.801,1433,36,709,
blur,products-admin,nav-settings,2,100,160,1,4.5,0.782,1433,22,1274,
blur,products-admin,nav-settings,3,100,160,1,4.5,0.782,1433,22,899,
blur,products-admin,logout-button,1,106,1064,1,1.8,0.924,1433,37,911,
blur,products-admin,logout-button,2,105,1064,1,1.1,0.929,1433,37,1144,
blur,products-admin,logout-button,3,104,1064,1,1.1,0.926,1433,37,2870,
blur,products-admin,row1-name,1,360,386,1,1.8,0.393,1440,45,1246,
blur,products-admin,row1-name,2,355,387,1,4.0,0.397,1440,24,2009,
blur,products-admin,row1-name,3,358,388,1,1.1,0.406,1440,24,863,
blur,products-admin,row1-view-icon,1,1129,390,1,2.8,0.478,1441,47,649,
blur,products-admin,row1-view-icon,2,1129,391,1,3.6,0.427,1441,24,1151,
blur,products-admin,row1-view-icon,3,1129,391,1,3.6,0.427,1441,24,984,
blur,products-admin,row1-edit-icon,1,1157,393,1,5.4,0.408,1441,24,1902,
blur,products-admin,row1-edit-icon,2,1157,392,1,4.5,0.453,1441,24,1031,
blur,products-admin,row1-edit-icon,3,1156,392,1,5.0,0.397,1441,24,2900,
blur,products-admin,row1-delete-icon,1,1187,393,1,5.0,0.451,1441,24,657,
blur,products-admin,row1-delete-icon,2,1187,393,1,5.0,0.451,1441,24,2298,
blur,products-admin,row1-delete-icon,3,1186,390,1,2.2,0.596,1441,24,668,
blur,products-admin,row5-price,1,747,574,1,10.6,0.714,1436,42,1011,
blur,products-admin,row5-price,2,747,574,1,10.6,0.714,1436,42,669,
blur,products-admin,row5-price,3,744,576,1,13.5,0.648,1436,42,1855,
blur,products-admin,row9-stock,1,900,765,1,17.6,0.539,1437,43,946,
blur,products-admin,row9-stock,2,900,765,1,17.6,0.592,1437,43,732,
blur,products-admin,row9-stock,3,902,763,1,15.5,0.580,1437,43,662,
blur,products-admin,row12-rating,1,1012,902,1,19.7,0.269,1440,46,672,
blur,products-admin,row12-rating,2,1012,905,1,19.5,0.282,1440,24,3252,
blur,products-admin,row12-rating,3,1012,904,1,19.5,0.328,1440,24,1148,
blur,products-admin,header-cost,1,830,347,1,7.0,0.776,1434,39,1177,
blur,products-admin,header-cost,2,832,347,1,5.1,0.810,1434,24,1869,
blur,products-admin,header-cost,3,835,347,1,2.9,0.824,1434,24,1998,
blur,products-admin,table-footer,1,278,946,1,467.0,0.087,1433,38,699,
blur,products-admin,table-footer,2,272,947,1,473.0,0.075,1433,24,645,
blur,products-admin,table-footer,3,278,946,1,467.0,0.087,1433,24,885,
blur,customer-c01,c01-back,1,264,41,1,2.0,0.934,1433,36,1658,
blur,customer-c01,c01-back,2,264,41,1,2.0,0.911,1433,22,1661,
blur,customer-c01,c01-back,3,264,41,1,2.0,0.915,1433,36,1112,
blur,customer-c01,c01-heading,1,317,89,1,428.0,0.159,1430,22,755,
blur,customer-c01,c01-heading,2,317,89,1,428.0,0.159,1430,22,694,
blur,customer-c01,c01-heading,3,319,88,1,426.0,0.150,1430,33,645,
blur,customer-c01,c01-name-value,1,538,148,1,3.2,0.903,1434,24,2523,
blur,customer-c01,c01-name-value,2,538,148,1,3.2,0.852,1434,24,928,
blur,customer-c01,c01-name-value,3,538,148,1,3.2,0.903,1434,24,1380,
blur,customer-c01,c01-phone-label,1,317,180,1,7.1,0.676,1433,24,640,
blur,customer-c01,c01-phone-label,2,317,180,1,7.1,0.676,1433,24,665,
blur,customer-c01,c01-phone-label,3,321,179,1,3.0,0.901,1433,38,622,
blur,customer-c01,c01-phone-value,1,539,180,1,2.2,0.727,1432,24,1759,
blur,customer-c01,c01-phone-value,2,543,180,1,2.2,0.712,1432,37,1112,
blur,customer-c01,c01-phone-value,3,539,180,1,2.2,0.727,1432,24,1526,
blur,customer-c01,c01-email-value,1,541,211,1,0.0,0.646,1432,24,1574,
blur,customer-c01,c01-email-value,2,541,210,1,1.0,0.692,1432,24,1955,
blur,customer-c01,c01-email-value,3,541,212,1,1.0,0.692,1432,24,1088,
blur,customer-c01,c01-card-label,1,318,276,1,6.0,0.870,1434,24,1216,
blur,customer-c01,c01-card-label,2,320,276,1,4.0,0.858,1434,24,1032,
blur,customer-c01,c01-card-label,3,319,276,1,5.0,0.850,1434,24,1205,
blur,customer-c01,c01-card-value,1,542,279,1,3.2,0.641,1432,24,1708,
blur,customer-c01,c01-card-value,2,541,279,1,3.0,0.692,1432,24,945,
blur,customer-c01,c01-card-value,3,543,279,1,3.6,0.709,1432,24,2272,
blur,customer-c01,c01-points-value,1,543,309,1,2.2,0.727,1432,37,652,
blur,customer-c01,c01-points-value,2,527,309,1,14.0,0.767,1432,24,2267,
blur,customer-c01,c01-points-value,3,524,309,1,17.0,0.848,1432,24,1629,
blur,customer-c01,c01-nav-customers,1,104,116,1,0.7,0.948,1433,22,1555,
blur,customer-c01,c01-nav-customers,2,104,116,1,0.7,0.934,1433,22,986,
blur,customer-c01,c01-nav-customers,3,104,116,1,0.7,0.934,1433,22,1038,
blur,customer-c03,c03-back,1,264,41,1,2.0,0.934,1433,36,1146,
blur,customer-c03,c03-back,2,262,42,1,4.1,0.837,1433,22,1521,
blur,customer-c03,c03-back,3,263,41,1,3.0,0.867,1433,22,1203,
blur,customer-c03,c03-name-value,1,543,149,1,2.8,0.828,1434,24,4614,
blur,customer-c03,c03-name-value,2,543,149,1,2.8,0.821,1434,24,1715,
blur,customer-c03,c03-name-value,3,543,149,1,2.8,0.825,1434,24,1323,
blur,customer-c03,c03-address-label,1,318,243,1,6.0,0.740,1433,24,1465,
blur,customer-c03,c03-address-label,2,319,243,1,5.0,0.867,1433,38,992,
blur,customer-c03,c03-address-label,3,319,243,1,5.0,0.815,1433,38,661,
blur,customer-c03,c03-address-value,1,543,243,1,2.0,0.638,1431,24,2354,
blur,customer-c03,c03-address-value,2,541,245,1,2.0,0.669,1431,24,1253,
blur,customer-c03,c03-address-value,3,541,245,1,2.0,0.669,1431,24,3387,
blur,customer-c03,c03-card-value,1,543,278,1,2.8,0.684,1432,24,1084,
blur,customer-c03,c03-card-value,2,543,277,1,2.2,0.638,1432,24,2299,
blur,customer-c03,c03-card-value,3,544,278,1,3.6,0.655,1432,24,1881,
blur,customer-c03,c03-email-label,1,318,211,1,6.0,0.689,1433,24,2074,
blur,customer-c03,c03-email-label,2,318,211,1,6.0,0.689,1433,24,1393,
blur,customer-c03,c03-email-label,3,318,208,1,6.7,0.733,1433,38,614,
blur,customer-c03,c03-logout,1,104,1063,1,2.1,0.893,1433,37,760,
blur,customer-c03,c03-logout,2,104,1064,1,1.1,0.917,1433,37,1637,
blur,customer-c03,c03-logout,3,104,1064,1,1.1,0.952,1433,37,1554,
blur,login,login-username,1,639,514,1,2.2,0.900,1428,24,1607,
blur,login,login-username,2,639,513,1,3.2,0.847,1428,24,1137,
blur,login,login-username,3,638,514,1,2.8,0.868,1428,33,622,
blur,login,login-password,1,639,588,1,1.4,0.940,1428,24,1203,
blur,login,login-password,2,639,587,1,1.0,0.954,1428,24,641,
blur,login,login-password,3,638,587,1,2.0,0.950,1428,33,632,
blur,login,login-submit,1,639,640,1,1.0,0.973,1432,37,824,
blur,login,login-submit,2,639,640,1,1.0,0.973,1432,24,900,
blur,login,login-submit,3,639,639,1,1.4,0.945,1432,37,1476,
blur,login,login-title,1,617,416,1,23.0,0.727,1432,37,1474,
blur,login,login-title,2,617,416,1,23.0,0.703,1432,24,4566,
blur,login,login-title,3,617,416,1,23.0,0.727,1432,37,1399,
blur,login,login-hint,1,639,681,1,1.8,0.851,1435,40,630,
blur,login,login-hint,2,639,681,1,1.8,0.745,1435,40,623,
blur,login,login-hint,3,639,681,1,1.8,0.848,1435,40,836,
pixel,products-admin,search-box,1,355,85,1,1.4,0.920,1431,22,667,
pixel,products-admin,search-box,2,355,85,1,1.4,0.948,1431,22,2443,
pixel,products-admin,search-box,3,355,85,1,1.4,0.948,1431,22,2464,
pixel,products-admin,category-dropdown,1,552,85,1,1.4,0.912,1431,22,1194,
pixel,products-admin,category-dropdown,2,552,85,1,1.4,0.912,1431,22,1151,
pixel,products-admin,category-dropdown,3,552,85,1,1.4,0.912,1431,22,857,
pixel,products-admin,add-button,1,774,84,1,2.8,0.874,1432,22,891,
pixel,products-admin,add-button,2,774,85,1,2.2,0.900,1432,22,658,
pixel,products-admin,add-button,3,774,84,1,2.8,0.883,1432,35,676,
pixel,products-admin,rating-filter-star4,1,683,83,1,3.6,0.525,1437,40,737,
pixel,products-admin,rating-filter-star4,2,682,84,1,3.6,0.540,1437,22,681,
pixel,products-admin,rating-filter-star4,3,682,85,1,3.2,0.624,1437,22,1344,
pixel,products-admin,chart-snack-bar,1,447,203,1,3.2,0.754,1439,44,961,
pixel,products-admin,chart-snack-bar,2,447,203,1,3.2,0.767,1439,44,687,
pixel,products-admin,chart-snack-bar,3,446,205,1,2.2,0.870,1439,24,672,
pixel,products-admin,nav-products,1,106,73,1,1.6,0.892,1433,35,1091,
pixel,products-admin,nav-products,2,100,73,1,4.5,0.864,1433,20,4712,
pixel,products-admin,nav-products,3,99,72,1,5.7,0.853,1433,20,2880,
pixel,products-admin,nav-customers,1,100,118,1,4.7,0.821,1433,35,1844,
pixel,products-admin,nav-customers,2,100,118,1,4.7,0.821,1433,35,1319,
pixel,products-admin,nav-customers,3,100,118,1,4.7,0.821,1433,35,815,
pixel,products-admin,nav-settings,1,108,157,1,4.3,0.682,1433,37,746,
pixel,products-admin,nav-settings,2,100,160,1,4.5,0.801,1433,22,1394,
pixel,products-admin,nav-settings,3,108,156,1,4.9,0.600,1433,37,635,
pixel,products-admin,logout-button,1,105,1064,1,1.1,0.929,1433,37,1180,
pixel,products-admin,logout-button,2,105,1064,1,1.1,0.931,1433,37,1323,
pixel,products-admin,logout-button,3,104,1064,1,1.1,0.926,1433,37,1135,
pixel,products-admin,row1-name,1,357,388,1,2.1,0.443,1440,45,5745,
pixel,products-admin,row1-name,2,358,388,1,1.1,0.427,1440,45,2426,
pixel,products-admin,row1-name,3,357,388,1,2.1,0.422,1440,45,3124,
pixel,products-admin,row1-view-icon,1,1129,391,1,3.6,0.427,1441,24,1243,
pixel,products-admin,row1-view-icon,2,1129,391,1,3.6,0.427,1441,24,1444,
pixel,products-admin,row1-view-icon,3,1129,390,1,2.8,0.427,1441,24,4006,
pixel,products-admin,row1-edit-icon,1,1157,393,1,5.4,0.447,1441,47,817,
pixel,products-admin,row1-edit-icon,2,1156,393,1,5.8,0.374,1441,24,2144,
pixel,products-admin,row1-edit-icon,3,1156,393,1,5.8,0.374,1441,24,1345,
pixel,products-admin,row1-delete-icon,1,1187,391,1,3.0,0.655,1441,24,2439,
pixel,products-admin,row1-delete-icon,2,1187,391,1,3.0,0.575,1441,24,2472,
pixel,products-admin,row1-delete-icon,3,1187,391,1,3.0,0.575,1441,24,2171,
pixel,products-admin,row5-price,1,744,576,1,13.5,0.648,1436,42,702,
pixel,products-admin,row5-price,2,747,575,1,10.5,0.716,1436,24,1590,
pixel,products-admin,row5-price,3,746,574,1,11.6,0.693,1436,42,661,
pixel,products-admin,row9-stock,1,902,765,1,15.6,0.608,1437,43,846,
pixel,products-admin,row9-stock,2,899,764,1,18.5,0.490,1437,43,676,
pixel,products-admin,row9-stock,3,903,767,1,14.9,0.577,1437,43,1482,
pixel,products-admin,row12-rating,1,1012,906,1,19.6,0.380,1440,46,1412,
pixel,products-admin,row12-rating,2,1012,906,1,19.6,0.380,1440,46,1328,
pixel,products-admin,row12-rating,3,1012,902,1,19.7,0.300,1440,46,646,
pixel,products-admin,header-cost,1,827,346,1,9.6,0.682,1434,24,857,
pixel,products-admin,header-cost,2,830,346,1,6.7,0.797,1434,39,780,
pixel,products-admin,header-cost,3,838,347,1,2.9,0.878,1434,39,751,
pixel,products-admin,table-footer,1,282,947,1,463.0,0.094,1433,24,2130,
pixel,products-admin,table-footer,2,272,947,1,473.0,0.075,1433,24,752,
pixel,products-admin,table-footer,3,278,946,1,467.0,0.087,1433,24,2231,
pixel,customer-c01,c01-back,1,262,41,1,4.0,0.875,1433,22,1043,
pixel,customer-c01,c01-back,2,264,41,1,2.0,0.915,1433,36,629,
pixel,customer-c01,c01-back,3,263,41,1,3.0,0.895,1433,22,2087,
pixel,customer-c01,c01-heading,1,317,89,1,428.0,0.152,1430,22,720,
pixel,customer-c01,c01-heading,2,317,89,1,428.0,0.152,1430,22,746,
pixel,customer-c01,c01-heading,3,317,89,1,428.0,0.151,1430,22,1144,
pixel,customer-c01,c01-name-value,1,522,148,1,19.0,0.811,1434,24,2032,
pixel,customer-c01,c01-name-value,2,522,148,1,19.0,0.811,1434,24,983,
pixel,customer-c01,c01-name-value,3,522,148,1,19.0,0.811,1434,24,3574,
pixel,customer-c01,c01-phone-label,1,321,178,1,3.2,0.838,1433,38,1047,
pixel,customer-c01,c01-phone-label,2,321,178,1,3.2,0.884,1433,38,618,
pixel,customer-c01,c01-phone-label,3,321,178,1,3.2,0.835,1433,38,1302,
pixel,customer-c01,c01-phone-value,1,519,179,1,22.0,0.616,1432,24,1710,
pixel,customer-c01,c01-phone-value,2,520,177,1,21.1,0.638,1432,24,814,
pixel,customer-c01,c01-phone-value,3,519,178,1,22.0,0.657,1432,24,1162,
pixel,customer-c01,c01-email-value,1,519,210,1,22.0,0.616,1432,24,2127,
pixel,customer-c01,c01-email-value,2,519,209,1,22.1,0.636,1432,24,1956,
pixel,customer-c01,c01-email-value,3,519,209,1,22.1,0.636,1432,24,2346,
pixel,customer-c01,c01-card-label,1,319,277,1,5.1,0.815,1434,24,741,
pixel,customer-c01,c01-card-label,2,319,277,1,5.1,0.775,1434,24,685,
pixel,customer-c01,c01-card-label,3,319,277,1,5.1,0.775,1434,24,830,
pixel,customer-c01,c01-card-value,1,519,280,1,22.4,0.579,1432,24,1218,
pixel,customer-c01,c01-card-value,2,519,279,1,22.2,0.596,1432,24,1035,
pixel,customer-c01,c01-card-value,3,520,279,1,21.2,0.599,1432,24,2233,
pixel,customer-c01,c01-points-value,1,521,310,1,20.1,0.768,1432,24,1210,
pixel,customer-c01,c01-points-value,2,522,309,1,19.0,0.803,1432,24,808,
pixel,customer-c01,c01-points-value,3,522,309,1,19.0,0.803,1432,24,665,
pixel,customer-c01,c01-nav-customers,1,105,116,1,0.7,0.946,1433,22,3111,
pixel,customer-c01,c01-nav-customers,2,104,116,1,0.7,0.941,1433,22,1339,
pixel,customer-c01,c01-nav-customers,3,105,116,1,0.7,0.954,1433,22,732,
pixel,customer-c03,c03-back,1,263,42,1,3.2,0.871,1433,36,633,
pixel,customer-c03,c03-back,2,263,41,1,3.0,0.896,1433,22,645,
pixel,customer-c03,c03-back,3,263,41,1,3.0,0.896,1433,36,626,
pixel,customer-c03,c03-name-value,1,502,149,1,39.1,0.674,1434,24,861,
pixel,customer-c03,c03-name-value,2,501,149,1,40.0,0.655,1434,24,775,
pixel,customer-c03,c03-name-value,3,504,149,1,37.1,0.681,1434,24,760,
pixel,customer-c03,c03-address-label,1,318,243,1,6.0,0.740,1433,24,1142,
pixel,customer-c03,c03-address-label,2,318,243,1,6.0,0.833,1433,38,614,
pixel,customer-c03,c03-address-label,3,318,243,1,6.0,0.740,1433,24,903,
pixel,customer-c03,c03-address-value,1,499,243,1,42.0,0.489,1431,36,1075,
pixel,customer-c03,c03-address-value,2,499,243,1,42.0,0.502,1431,36,622,
pixel,customer-c03,c03-address-value,3,495,243,1,46.0,0.492,1431,24,2179,
pixel,customer-c03,c03-card-value,1,497,277,1,44.0,0.525,1432,24,1179,
pixel,customer-c03,c03-card-value,2,497,278,1,44.0,0.511,1432,24,691,
pixel,customer-c03,c03-card-value,3,497,278,1,44.0,0.511,1432,24,1056,
pixel,customer-c03,c03-email-label,1,319,211,1,5.0,0.887,1433,24,681,
pixel,customer-c03,c03-email-label,2,319,211,1,5.0,0.850,1433,24,674,
pixel,customer-c03,c03-email-label,3,319,211,1,5.0,0.850,1433,24,779,
pixel,customer-c03,c03-logout,1,104,1063,1,2.1,0.899,1433,37,754,
pixel,customer-c03,c03-logout,2,104,1064,1,1.1,0.917,1433,37,776,
pixel,customer-c03,c03-logout,3,104,1064,1,1.1,0.917,1433,37,812,
pixel,login,login-username,1,638,514,1,2.8,0.896,1428,33,594,
pixel,login,login-username,2,639,514,1,2.2,0.900,1428,24,2038,
pixel,login,login-username,3,639,514,1,2.2,0.900,1428,24,1494,
pixel,login,login-password,1,639,587,1,1.0,0.954,1428,24,624,
pixel,login,login-password,2,637,586,1,3.2,0.945,1428,24,579,
pixel,login,login-password,3,639,588,1,1.4,0.940,1428,24,1320,
