condition,screen,item,repeat,pred_x,pred_y,hit,dist,iou,in_tokens,out_tokens,latency_ms,error
orig,customer-c03,c03-back,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-name-value,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-name-value,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-name-value,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-label,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-label,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-label,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-value,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-value,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-address-value,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-card-value,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-card-value,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-card-value,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-email-label,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-email-label,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-email-label,3,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-logout,1,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-logout,2,,,,,,,,,"unparseable answer"
orig,customer-c03,c03-logout,3,,,,,,,,,"unparseable answer"
orig,login,login-username,1,,,,,,,,,"unparseable answer"
orig,login,login-username,2,,,,,,,,,"unparseable answer"
orig,login,login-username,3,,,,,,,,,"unparseable answer"
orig,login,login-password,1,,,,,,,,,"unparseable answer"
orig,login,login-password,2,,,,,,,,,"unparseable answer"
orig,login,login-password,3,,,,,,,,,"unparseable answer"
orig,login,login-submit,1,,,,,,,,,"unparseable answer"
orig,login,login-submit,2,,,,,,,,,"unparseable answer"
orig,login,login-submit,3,,,,,,,,,"unparseable answer"
orig,login,login-title,1,,,,,,,,,"unparseable answer"
orig,login,login-title,2,,,,,,,,,"unparseable answer"
orig,login,login-title,3,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
orig,login,login-hint,1,,,,,,,,,"unparseable answer"
orig,login,login-hint,2,,,,,,,,,"unparseable answer"
orig,login,login-hint,3,,,,,,,,,"unparseable answer"
blur,products-admin,search-box,1,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
blur,products-admin,search-box,2,,,,,,,,,"unparseable answer"
blur,products-admin,search-box,3,,,,,,,,,"unparseable answer"
blur,products-admin,category-dropdown,1,,,,,,,,,"unparseable answer"
blur,products-admin,category-dropdown,2,,,,,,,,,"unparseable answer"
blur,products-admin,category-dropdown,3,,,,,,,,,"unparseable answer"
blur,products-admin,add-button,1,604,104,0,172.9,0.000,1092,39,1138,
blur,products-admin,add-button,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
blur,products-admin,add-button,3,,,,,,,,,"unparseable answer"
blur,products-admin,rating-filter-star4,1,,,,,,,,,"unparseable answer"
blur,products-admin,rating-filter-star4,2,,,,,,,,,"unparseable answer"
blur,products-admin,rating-filter-star4,3,,,,,,,,,"unparseable answer"
blur,products-admin,chart-snack-bar,1,,,,,,,,,"unparseable answer"
blur,products-admin,chart-snack-bar,2,,,,,,,,,"unparseable answer"
blur,products-admin,chart-snack-bar,3,,,,,,,,,"unparseable answer"
blur,products-admin,nav-products,1,,,,,,,,,"unparseable answer"
blur,products-admin,nav-products,2,,,,,,,,,"unparseable answer"
blur,products-admin,nav-products,3,,,,,,,,,"unparseable answer"
blur,products-admin,nav-customers,1,,,,,,,,,"unparseable answer"
blur,products-admin,nav-customers,2,,,,,,,,,"unparseable answer"
blur,products-admin,nav-customers,3,,,,,,,,,"unparseable answer"
blur,products-admin,nav-settings,1,,,,,,,,,"unparseable answer"
blur,products-admin,nav-settings,2,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 22 (line 1 column 23)"
blur,products-admin,nav-settings,3,,,,,,,,,"unparseable answer"
blur,products-admin,logout-button,1,,,,,,,,,"unparseable answer"
blur,products-admin,logout-button,2,0,0,0,949.8,,1093,59,1240,
blur,products-admin,logout-button,3,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 13 (line 1 column 14)"
blur,products-admin,row1-name,1,,,,,,,,,"unparseable answer"
blur,products-admin,row1-name,2,,,,,,,,,"unparseable answer"
blur,products-admin,row1-name,3,,,,,,,,,"unparseable answer"
blur,products-admin,row1-view-icon,1,,,,,,,,,"unparseable answer"
blur,products-admin,row1-view-icon,2,,,,,,,,,"unparseable answer"
blur,products-admin,row1-view-icon,3,,,,,,,,,"unparseable answer"
blur,products-admin,row1-edit-icon,1,,,,,,,,,"unparseable answer"
blur,products-admin,row1-edit-icon,2,,,,,,,,,"unparseable answer"
blur,products-admin,row1-edit-icon,3,,,,,,,,,"unparseable answer"
blur,products-admin,row1-delete-icon,1,,,,,,,,,"unparseable answer"
blur,products-admin,row1-delete-icon,2,,,,,,,,,"unparseable answer"
blur,products-admin,row1-delete-icon,3,,,,,,,,,"unparseable answer"
blur,products-admin,row5-price,1,,,,,,,,,"unparseable answer"
blur,products-admin,row5-price,2,,,,,,,,,"unparseable answer"
blur,products-admin,row5-price,3,,,,,,,,,"unparseable answer"
blur,products-admin,row9-stock,1,,,,,,,,,"unparseable answer"
blur,products-admin,row9-stock,2,,,,,,,,,"unparseable answer"
blur,products-admin,row9-stock,3,,,,,,,,,"unparseable answer"
blur,products-admin,row12-rating,1,0,0,0,1371.9,,1100,56,2247,
blur,products-admin,row12-rating,2,0,0,0,1371.9,,1100,56,2292,
blur,products-admin,row12-rating,3,0,0,0,1371.9,,1100,56,2095,
blur,products-admin,header-cost,1,,,,,,,,,"unparseable answer"
blur,products-admin,header-cost,2,,,,,,,,,"unparseable answer"
blur,products-admin,header-cost,3,,,,,,,,,"unparseable answer"
blur,products-admin,table-footer,1,0,0,0,1204.9,,1093,63,2670,
blur,products-admin,table-footer,2,0,0,0,1204.9,,1093,52,3901,
blur,products-admin,table-footer,3,0,0,0,1204.9,,1093,65,771,
blur,customer-c01,c01-back,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-back,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-back,3,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 13 (line 1 column 14)"
blur,customer-c01,c01-heading,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-heading,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-heading,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-name-value,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-name-value,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-name-value,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-label,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-label,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-label,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-value,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-value,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-phone-value,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-email-value,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-email-value,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-email-value,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-label,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-label,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-label,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-value,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-value,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-card-value,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-points-value,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-points-value,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-points-value,3,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-nav-customers,1,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-nav-customers,2,,,,,,,,,"unparseable answer"
blur,customer-c01,c01-nav-customers,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-back,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-back,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-back,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-name-value,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-name-value,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-name-value,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-label,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-label,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-label,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-value,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-value,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-address-value,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-card-value,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-card-value,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-card-value,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-email-label,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-email-label,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-email-label,3,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-logout,1,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-logout,2,,,,,,,,,"unparseable answer"
blur,customer-c03,c03-logout,3,,,,,,,,,"unparseable answer"
blur,login,login-username,1,,,,,,,,,"unparseable answer"
blur,login,login-username,2,,,,,,,,,"unparseable answer"
blur,login,login-username,3,,,,,,,,,"unparseable answer"
blur,login,login-password,1,,,,,,,,,"unparseable answer"
blur,login,login-password,2,,,,,,,,,"unparseable answer"
blur,login,login-password,3,,,,,,,,,"unparseable answer"
blur,login,login-submit,1,,,,,,,,,"unparseable answer"
blur,login,login-submit,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
blur,login,login-submit,3,,,,,,,,,"unparseable answer"
blur,login,login-title,1,,,,,,,,,"unparseable answer"
blur,login,login-title,2,,,,,,,,,"unparseable answer"
blur,login,login-title,3,,,,,,,,,"unparseable answer"
blur,login,login-hint,1,,,,,,,,,"unparseable answer"
blur,login,login-hint,2,,,,,,,,,"unparseable answer"
blur,login,login-hint,3,,,,,,,,,"unparseable answer"
pixel,products-admin,search-box,1,,,,,,,,,"unparseable answer"
pixel,products-admin,search-box,2,,,,,,,,,"unparseable answer"
pixel,products-admin,search-box,3,,,,,,,,,"unparseable answer"
pixel,products-admin,category-dropdown,1,,,,,,,,,"unparseable answer"
pixel,products-admin,category-dropdown,2,,,,,,,,,"unparseable answer"
pixel,products-admin,category-dropdown,3,,,,,,,,,"unparseable answer"
pixel,products-admin,add-button,1,,,,,,,,,"unparseable answer"
pixel,products-admin,add-button,2,,,,,,,,,"unparseable answer"
pixel,products-admin,add-button,3,,,,,,,,,"unparseable answer"
pixel,products-admin,rating-filter-star4,1,,,,,,,,,"unparseable answer"
pixel,products-admin,rating-filter-star4,2,,,,,,,,,"unparseable answer"
pixel,products-admin,rating-filter-star4,3,,,,,,,,,"unparseable answer"
pixel,products-admin,chart-snack-bar,1,,,,,,,,,"unparseable answer"
pixel,products-admin,chart-snack-bar,2,,,,,,,,,"unparseable answer"
pixel,products-admin,chart-snack-bar,3,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-products,1,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-products,2,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-products,3,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-customers,1,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-customers,2,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-customers,3,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-settings,1,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 13 (line 1 column 14)"
pixel,products-admin,nav-settings,2,,,,,,,,,"unparseable answer"
pixel,products-admin,nav-settings,3,,,,,,,,,"unparseable answer"
pixel,products-admin,logout-button,1,,,,,,,,,"unparseable answer"
pixel,products-admin,logout-button,2,,,,,,,,,"unparseable answer"
pixel,products-admin,logout-button,3,0,0,0,949.8,,1093,59,1249,
pixel,products-admin,row1-name,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-name,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-name,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-view-icon,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-view-icon,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-view-icon,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-edit-icon,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-edit-icon,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-edit-icon,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-delete-icon,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-delete-icon,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row1-delete-icon,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row5-price,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row5-price,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row5-price,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row9-stock,1,,,,,,,,,"unparseable answer"
pixel,products-admin,row9-stock,2,,,,,,,,,"unparseable answer"
pixel,products-admin,row9-stock,3,,,,,,,,,"unparseable answer"
pixel,products-admin,row12-rating,1,0,0,0,1371.9,,1100,56,668,
pixel,products-admin,row12-rating,2,0,0,0,1371.9,,1100,56,755,
pixel,products-admin,row12-rating,3,0,0,0,1371.9,,1100,60,769,
pixel,products-admin,header-cost,1,,,,,,,,,"unparseable answer"
pixel,products-admin,header-cost,2,,,,,,,,,"unparseable answer"
pixel,products-admin,header-cost,3,,,,,,,,,"unparseable answer"
pixel,products-admin,table-footer,1,0,0,0,1204.9,,1093,65,795,
pixel,products-admin,table-footer,2,0,0,0,1204.9,,1093,69,791,
pixel,products-admin,table-footer,3,0,0,0,1204.9,,1093,60,911,
pixel,customer-c01,c01-back,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-back,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-back,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-heading,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-heading,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-heading,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-name-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-name-value,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 20 (line 1 column 21)"
pixel,customer-c01,c01-name-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-phone-label,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-phone-label,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-phone-label,3,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 14 (line 1 column 15)"
pixel,customer-c01,c01-phone-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-phone-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-phone-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-email-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-email-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-email-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-label,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-label,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-label,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-card-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-points-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-points-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-points-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-nav-customers,1,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-nav-customers,2,,,,,,,,,"unparseable answer"
pixel,customer-c01,c01-nav-customers,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-back,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-back,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-back,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-name-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-name-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-name-value,3,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 20 (line 1 column 21)"
pixel,customer-c03,c03-address-label,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-address-label,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-address-label,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-address-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-address-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-address-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-card-value,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-card-value,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-card-value,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-email-label,1,,,,,,,,,"Expected ',' or '}' after property value in JSON at position 14 (line 1 column 15)"
pixel,customer-c03,c03-email-label,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-email-label,3,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-logout,1,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-logout,2,,,,,,,,,"unparseable answer"
pixel,customer-c03,c03-logout,3,,,,,,,,,"unparseable answer"
pixel,login,login-username,1,,,,,,,,,"unparseable answer"
pixel,login,login-username,2,,,,,,,,,"unparseable answer"
pixel,login,login-username,3,,,,,,,,,"unparseable answer"
pixel,login,login-password,1,,,,,,,,,"unparseable answer"
pixel,login,login-password,2,,,,,,,,,"unparseable answer"
pixel,login,login-password,3,,,,,,,,,"unparseable answer"
pixel,login,login-submit,1,,,,,,,,,"unparseable answer"
pixel,login,login-submit,2,,,,,,,,,"unparseable answer"
pixel,login,login-submit,3,,,,,,,,,"unparseable answer"
pixel,login,login-title,1,,,,,,,,,"unparseable answer"
pixel,login,login-title,2,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 43 (line 1 column 44)"
pixel,login,login-title,3,,,,,,,,,"Expected ',' or ']' after array element in JSON at position 22 (line 1 column 23)"
pixel,login,login-hint,1,,,,,,,,,"unparseable answer"
pixel,login,login-hint,2,,,,,,,,,"unparseable answer"
pixel,login,login-hint,3,,,,,,,,,"unparseable answer"
